domisili,jenis_kelamin,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,age_years,active_work,income_3_months,income_6_months,total_income_work,income_dependant_ratio,work_efficiency,active_work_category,work_stability_score,position_score,job_income_position_score,education_score,education_income_ratio,weighted_satisfaction_performance
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,4.0,9.66,Service & Support,Staff,2182347.0,0.0,High,Excellent,36,130,6547041.0,13094082.0,8729388.0,545586.75,1.2075,Short-term,0.8,1,2182347.0,1,2182347.0,3.0
Tangerang,Laki-laki,Married,2,D2,2.0,9.28,Service & Support,Manager,10383132.958542269,0.0,High,Excellent,48,1528,31149398.875626806,62298797.75125361,519156647.9271134,3461044.3195140897,1.16,Long-term,16.666666666666668,4,2595783.239635567,3,3461044.3195140897,3.0
Kabupaten Bekasi,Laki-laki,Married,2,S1,0.0,9.54,Finance & Accounting,Junior,5511921.0,0.0,High,Good,37,113,16535763.0,33071526.0,16535763.0,1837307.0,1.1925,Short-term,3.0,2,2755960.5,5,1102384.2,2.6
Kota Depok,Perempuan,Married,3,S1,0.0,9.12,Finance & Accounting,Manager,11018991.503121706,0.0,High,Excellent,41,1586,33056974.50936512,66113949.01873024,572987558.1623287,2754747.8757804264,1.14,Long-term,52.0,4,2754747.8757804264,5,2203798.300624341,3.0
Kota Jakarta Pusat,Perempuan,Married,3,D3,7.0,9.79,Service & Support,Senior,8466488.290888676,0.0,High,Excellent,45,411,25399464.87266603,50798929.74533206,110064347.7815528,2116622.072722169,1.22375,Mid-term,1.625,3,2822162.763629559,4,2116622.072722169,3.0
Kabupaten Bekasi,Laki-laki,Married,2,S1,0.0,9.36,Service & Support,Junior,6346029.0,0.0,Medium,Good,27,977,19038087.0,38076174.0,203072928.0,2115343.0,1.17,Mid-term,32.0,2,3173014.5,5,1269205.8,2.0
Kota Jakarta Pusat,Perempuan,Single,0,SLTA,3.0,9.68,Creative & Design,Senior,13027010.888785329,0.0,Very High,Outstanding,53,1491,39081032.66635598,78162065.33271196,638323533.5504811,13027010.888785329,1.21,Long-term,12.25,3,4342336.962928443,1,13027010.888785329,4.0
Kota Jakarta Barat,Laki-laki,Married,1,D1,1.0,9.45,Finance & Accounting,Staff,4253923.0,0.0,Low,Excellent,36,1168,12761769.0,25523538.0,161649074.0,2126961.5,1.18125,Long-term,19.0,1,4253923.0,2,2126961.5,1.8000000000000005
Kepulauan Seribu,Laki-laki,Married,5,SLTA,6.0,9.0,Corporate Strategy & Communications,Manager,6457908.10590769,0.0,Very High,Excellent,43,1131,19373724.31772307,38747448.63544614,238942599.91858453,1076318.0176512816,1.125,Long-term,5.285714285714286,4,1614477.0264769224,1,6457908.10590769,3.6
Kota Jakarta Utara,Laki-laki,Married,2,S1,0.0,9.18,HR,Junior,5968945.0,0.0,Low,Low,32,738,17906835.0,35813670.0,143254680.0,1989648.3333333333,1.1475,Mid-term,24.0,2,2984472.5,5,1193789.0,1.0
Kabupaten Bekasi,Laki-laki,Single,0,SLTA,0.0,9.28,Engineering & IT,Manager,13214695.129800327,0.0,High,Outstanding,42,1713,39644085.38940098,79288170.77880196,753237622.3986187,13214695.129800327,1.16,Long-term,57.0,4,3303673.782450082,1,13214695.129800327,3.4
Kota Depok,Perempuan,Married,3,S1,2.0,9.11,Engineering & IT,Manager,14965474.379589733,0.0,High,Excellent,51,1304,44896423.1387692,89792846.27753839,643515398.3223585,3741368.594897433,1.13875,Long-term,14.333333333333334,4,3741368.594897433,5,2993094.8759179465,3.0
Kota Jakarta Pusat,Laki-laki,Divorce,0,D1,6.0,9.82,HR,Manager,6204093.115317787,0.0,High,Excellent,53,314,18612279.34595336,37224558.69190672,62040931.15317787,6204093.115317787,1.2275,Short-term,1.4285714285714286,4,1551023.2788294468,2,3102046.557658893,3.0
Kabupaten Bogor,Laki-laki,Married,0,D3,2.0,9.68,Operations,Manager,9335107.437987618,0.0,High,Excellent,50,1404,28005322.31396285,56010644.62792571,429414942.1474304,9335107.437987618,1.21,Long-term,15.333333333333334,4,2333776.8594969045,4,2333776.8594969045,3.0
Kabupaten Bekasi,Laki-laki,Married,2,S1,0.0,9.81,Engineering & IT,Senior,15199593.539907085,0.0,High,Outstanding,45,640,45598780.619721256,91197561.23944253,319191464.3380488,5066531.179969029,1.22625,Mid-term,21.0,3,5066531.179969029,5,3039918.707981417,3.4
Kabupaten Bogor,Laki-laki,Married,3,D3,1.0,9.51,Finance & Accounting,Senior,8763605.22571044,0.0,Very High,Excellent,48,382,26290815.67713132,52581631.35426264,105163262.70852529,2190901.30642761,1.18875,Mid-term,6.0,3,2921201.74190348,4,2190901.30642761,3.6
Kota Jakarta Timur,Perempuan,Married,1,S1,2.0,9.16,HR,Junior,6444159.0,0.0,Low,Good,30,905,19332477.0,38664954.0,193324770.0,3222079.5,1.145,Mid-term,10.0,2,3222079.5,5,1288831.8,1.4
Kota Depok,Laki-laki,Married,0,D2,1.0,9.1,Creative & Design,Manager,9923280.196645703,0.0,Very High,Excellent,48,1490,29769840.58993711,59539681.17987422,486240729.6356394,9923280.196645703,1.1375,Long-term,24.5,4,2480820.049161426,3,3307760.065548568,3.6
Kabupaten Bekasi,Laki-laki,Married,3,S1,1.0,9.61,Corporate Strategy & Communications,Senior,11387454.875838673,0.0,High,Excellent,42,1299,34162364.62751602,68324729.25503203,489660559.66106296,2846863.718959668,1.20125,Long-term,21.5,3,3795818.291946224,5,2277490.9751677345,3.0
Kabupaten Bekasi,Laki-laki,Single,0,SLTA,0.0,9.84,HR,Staff,1275848.0,0.0,High,Good,34,1137,3827544.0,7655088.0,47206376.0,1275848.0,1.23,Long-term,37.0,1,1275848.0,1,1275848.0,2.6
Tangerang,Laki-laki,Married,1,S1,1.0,9.74,Creative & Design,Senior,12153818.762738034,0.0,High,Outstanding,48,1620,36461456.2882141,72922912.5764282,656306213.1878538,6076909.381369017,1.2175,Long-term,27.0,3,4051272.920912678,5,2430763.752547607,3.4
Kabupaten Bekasi,Laki-laki,Married,4,D2,5.0,9.35,Marketing,Staff,3265375.0,0.0,Medium,Low,40,1109,9796125.0,19592250.0,117553500.0,653075.0,1.16875,Mid-term,6.0,1,3265375.0,3,1088458.3333333333,1.6
Kota Jakarta Timur,Laki-laki,Married,0,S1,3.0,9.21,Operations,Senior,11971126.21725819,0.0,Very High,Excellent,42,911,35913378.65177457,71826757.30354914,359133786.51774573,11971126.21725819,1.15125,Mid-term,7.5,3,3990375.40575273,5,2394225.243451638,3.6
Kota Jakarta Selatan,Perempuan,Married,1,SLTA,4.0,9.0,Finance & Accounting,Manager,8344834.050487895,0.0,High,Excellent,42,521,25034502.151463684,50069004.30292737,141862178.85829422,4172417.0252439473,1.125,Mid-term,3.4,4,2086208.5126219736,1,8344834.050487895,3.0
Kota Jakarta Timur,Laki-laki,Married,2,S1,4.0,9.16,Marketing,Senior,10554199.86885298,0.0,High,Excellent,48,988,31662599.60655894,63325199.21311788,337734395.8032954,3518066.622950993,1.145,Mid-term,6.4,3,3518066.622950993,5,2110839.973770596,3.0
Kota Depok,Laki-laki,Single,0,S1,4.0,9.16,Operations,Junior,5231866.0,0.0,High,Low,39,977,15695598.0,31391196.0,167419712.0,5231866.0,1.145,Mid-term,6.4,2,2615933.0,5,1046373.2,2.2
Kota Jakarta Utara,Perempuan,Married,2,S1,2.0,9.72,HR,Junior,5693809.0,0.0,High,Good,38,1410,17081427.0,34162854.0,267609023.0,1897936.3333333333,1.215,Long-term,15.666666666666666,2,2846904.5,5,1138761.8,2.6
Kota Jakarta Selatan,Laki-laki,Single,0,D2,5.0,9.49,HR,Staff,3737023.0,0.0,Low,Low,30,117,11211069.0,22422138.0,11211069.0,3737023.0,1.18625,Short-term,0.5,1,3737023.0,3,1245674.3333333333,1.0
Kota Jakarta Utara,Laki-laki,Married,3,D2,5.0,9.83,Finance & Accounting,Staff,4530138.0,0.0,Medium,Low,40,1353,13590414.0,27180828.0,203856210.0,1132534.5,1.22875,Long-term,7.5,1,4530138.0,3,1510046.0,1.6
Tangerang,Laki-laki,Married,1,S1,4.0,9.25,HR,Junior,5685038.0,0.0,Medium,Excellent,36,1348,17055114.0,34110228.0,250141672.0,2842519.0,1.15625,Long-term,8.8,2,2842519.0,5,1137007.6,2.4000000000000004
Kota Bogor,Perempuan,Married,2,SLTA,5.0,9.71,Creative & Design,Staff,2100800.0,0.0,Medium,Low,33,1154,6302400.0,12604800.0,79830400.0,700266.6666666666,1.21375,Long-term,6.333333333333333,1,2100800.0,1,2100800.0,1.6
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,8.0,9.03,Creative & Design,Staff,1702470.0,0.0,High,Low,40,317,5107410.0,10214820.0,17024700.0,567490.0,1.12875,Short-term,1.1111111111111112,1,1702470.0,1,1702470.0,2.2
Kota Bogor,Laki-laki,Single,0,SLTA,7.0,9.77,Finance & Accounting,Staff,2752738.0,0.0,High,Good,33,1249,8258214.0,16516428.0,112862258.0,2752738.0,1.22125,Long-term,5.125,1,2752738.0,1,2752738.0,2.6
Kabupaten Bekasi,Perempuan,Single,0,S1,6.0,9.34,Finance & Accounting,Junior,5376112.0,0.0,High,Excellent,28,1251,16128336.0,32256672.0,220420592.0,5376112.0,1.1675,Long-term,5.857142857142857,2,2688056.0,5,1075222.4,3.0
Kabupaten Bogor,Perempuan,Married,2,SLTA,6.0,9.75,Corporate Strategy & Communications,Senior,6300101.139170279,0.0,High,Excellent,54,296,18900303.41751084,37800606.83502168,56700910.25253251,2100033.7130567594,1.21875,Short-term,1.2857142857142858,3,2100033.7130567594,1,6300101.139170279,3.0
Tangerang,Perempuan,Married,2,SLTA,4.0,9.8,HR,Senior,14935158.16224343,0.0,Very High,Excellent,41,1254,44805474.48673029,89610948.97346058,612341484.6519806,4978386.054081143,1.225,Long-term,8.2,3,4978386.054081143,1,14935158.16224343,3.6
Kota Jakarta Utara,Perempuan,Divorce,1,S1,5.0,9.67,Marketing,Junior,5185078.0,0.0,High,Excellent,35,1113,15555234.0,31110468.0,191847886.0,2592539.0,1.20875,Long-term,6.166666666666667,2,2592539.0,5,1037015.6,3.0
Kota Jakarta Timur,Perempuan,Married,1,D1,3.0,9.8,Marketing,Staff,3642282.0,0.0,High,Excellent,39,278,10926846.0,21853692.0,32780538.0,1821141.0,1.225,Short-term,2.25,1,3642282.0,2,1821141.0,3.0
Kepulauan Seribu,Laki-laki,Married,1,S1,3.0,9.07,Service & Support,Junior,5031507.0,0.0,Low,Low,27,1475,15094521.0,30189042.0,246543843.0,2515753.5,1.13375,Long-term,12.25,2,2515753.5,5,1006301.4,1.0
Kota Depok,Perempuan,Single,0,D3,5.0,9.68,Corporate Strategy & Communications,Staff,4294500.0,0.0,Medium,Good,25,133,12883500.0,25767000.0,17178000.0,4294500.0,1.21,Short-term,0.6666666666666666,1,4294500.0,4,1073625.0,2.0
Kota Jakarta Selatan,Perempuan,Married,0,D3,0.0,9.76,Service & Support,Manager,9613125.34346968,0.0,Very High,Outstanding,47,1403,28839376.03040904,57678752.06081808,442203765.79960525,9613125.34346968,1.22,Long-term,46.0,4,2403281.33586742,4,2403281.33586742,4.0
Kabupaten Bogor,Perempuan,Married,1,S1,1.0,9.4,Finance & Accounting,Junior,6591434.0,0.0,Low,Low,39,683,19774302.0,39548604.0,145011548.0,3295717.0,1.175,Mid-term,11.0,2,3295717.0,5,1318286.8,1.0
Kota Jakarta Timur,Laki-laki,Married,2,S1,0.0,9.69,Operations,Senior,8049331.0,0.0,High,Outstanding,32,865,24147993.0,48295986.0,225381268.0,2683110.333333333,1.21125,Mid-term,28.0,3,2683110.333333333,5,1609866.2,3.4
Tangerang,Perempuan,Married,3,D1,6.0,9.76,Service & Support,Manager,8929930.582208497,0.0,High,Excellent,55,1607,26789791.74662549,53579583.49325098,473286320.8570504,2232482.6455521244,1.22,Long-term,7.571428571428571,4,2232482.6455521244,2,4464965.291104249,3.0
Kota Jakarta Selatan,Laki-laki,Married,1,S1,3.0,9.74,Creative & Design,Junior,5648859.0,0.0,High,Low,36,732,16946577.0,33893154.0,135572616.0,2824429.5,1.2175,Mid-term,6.0,2,2824429.5,5,1129771.8,2.2
Kota Jakarta Barat,Perempuan,Married,2,SLTA,6.0,9.11,Creative & Design,Staff,2454723.0,0.0,Low,Excellent,39,351,7364169.0,14728338.0,27001953.0,818241.0,1.13875,Short-term,1.5714285714285714,1,2454723.0,1,2454723.0,1.8000000000000005
Kabupaten Bekasi,Laki-laki,Married,3,D2,5.0,9.27,Engineering & IT,Manager,7555067.854750046,0.0,Very High,Outstanding,41,337,22665203.564250138,45330407.12850028,83105746.4022505,1888766.963687512,1.15875,Short-term,1.8333333333333333,4,1888766.963687512,3,2518355.9515833487,4.0
Kota Jakarta Barat,Perempuan,Married,1,SLTA,0.0,9.44,HR,Senior,12154905.272325778,0.0,High,Excellent,49,264,36464715.81697734,72929431.63395467,97239242.17860624,6077452.636162889,1.18,Short-term,8.0,3,4051635.0907752593,1,12154905.272325778,3.0
Kota Jakarta Timur,Laki-laki,Married,2,D1,2.0,9.69,HR,Staff,4618335.0,0.0,High,Good,40,970,13855005.0,27710010.0,147786720.0,1539445.0,1.21125,Mid-term,10.666666666666666,1,4618335.0,2,2309167.5,2.6
Kota Jakarta Utara,Laki-laki,Married,0,S1,2.0,9.12,Service & Support,Manager,12351493.137382943,0.0,Very High,Excellent,42,437,37054479.41214883,74108958.82429767,172920903.9233612,12351493.137382943,1.14,Mid-term,4.666666666666667,4,3087873.284345736,5,2470298.627476589,3.6
Tangerang,Perempuan,Married,3,S1,2.0,9.43,Creative & Design,Senior,12447294.547087483,0.0,Very High,Outstanding,44,1080,37341883.64126245,74683767.2825249,448102603.6951494,3111823.636771871,1.17875,Mid-term,12.0,3,4149098.182362495,5,2489458.9094174965,4.0
Tangerang,Perempuan,Married,2,S1,3.0,9.16,Creative & Design,Junior,5618943.0,0.0,High,Good,25,795,16856829.0,33713658.0,146092518.0,1872981.0,1.145,Mid-term,6.5,2,2809471.5,5,1123788.6,2.6
Kabupaten Bogor,Laki-laki,Married,3,D3,7.0,9.46,Corporate Strategy & Communications,Staff,3156510.0,0.0,Low,Excellent,27,232,9469530.0,18939060.0,22095570.0,789127.5,1.1825,Short-term,0.875,1,3156510.0,4,789127.5,1.8000000000000005
Kota Jakarta Selatan,Laki-laki,Married,1,SLTA,6.0,9.64,Creative & Design,Manager,8376403.884082677,0.0,Very High,Excellent,43,623,25129211.652248032,50258423.30449607,167528077.68165353,4188201.9420413375,1.205,Mid-term,2.857142857142857,4,2094100.9710206687,1,8376403.884082677,3.6
Kabupaten Bogor,Perempuan,Divorce,2,S1,3.0,9.39,Engineering & IT,Junior,5195719.0,0.0,High,Low,34,182,15587157.0,31174314.0,31174314.0,1731906.3333333333,1.17375,Short-term,1.5,2,2597859.5,5,1039143.8,2.2
Kota Bogor,Laki-laki,Married,3,D1,1.0,9.6,Operations,Senior,9346147.92395055,0.0,High,Outstanding,49,821,28038443.771851648,56076887.543703295,252345993.94666484,2336536.9809876373,1.2,Mid-term,13.5,3,3115382.6413168497,2,4673073.961975275,3.4
Kabupaten Bogor,Laki-laki,Married,2,SLTA,1.0,9.04,Operations,Staff,1485678.0,0.0,Low,Excellent,28,104,4457034.0,8914068.0,4457034.0,495226.0,1.13,Short-term,1.5,1,1485678.0,1,1485678.0,1.8000000000000005
Kabupaten Bogor,Perempuan,Married,2,D2,2.0,9.16,Operations,Staff,4698333.0,0.0,Medium,Excellent,28,1303,14094999.0,28189998.0,202028319.0,1566111.0,1.145,Long-term,14.333333333333334,1,4698333.0,3,1566111.0,2.4000000000000004
Kota Jakarta Utara,Perempuan,Married,3,S1,3.0,9.64,Engineering & IT,Junior,7138541.0,0.0,Medium,Good,36,1113,21415623.0,42831246.0,264126017.0,1784635.25,1.205,Long-term,9.25,2,3569270.5,5,1427708.2,2.0
Kabupaten Bekasi,Perempuan,Married,1,S1,3.0,9.51,Engineering & IT,Manager,11977742.782545429,0.0,High,Excellent,53,169,35933228.34763628,71866456.69527256,59888713.91272715,5988871.391272714,1.18875,Short-term,1.25,4,2994435.695636357,5,2395548.556509086,3.0
Kota Jakarta Utara,Perempuan,Married,0,S1,0.0,9.67,Corporate Strategy & Communications,Junior,5605079.0,0.0,Medium,Low,37,393,16815237.0,33630474.0,72866027.0,5605079.0,1.20875,Mid-term,13.0,2,2802539.5,5,1121015.8,1.6
Kabupaten Bekasi,Perempuan,Single,0,SLTA,4.0,9.47,Marketing,Staff,2527140.0,0.0,Low,Excellent,24,378,7581420.0,15162840.0,30325680.0,2527140.0,1.18375,Mid-term,2.4,1,2527140.0,1,2527140.0,1.8000000000000005
Kota Jakarta Timur,Laki-laki,Married,4,S1,0.0,9.65,Service & Support,Manager,11122335.250252252,0.0,High,Excellent,49,975,33367005.750756755,66734011.50151351,355914728.0080721,2224467.0500504505,1.20625,Mid-term,32.0,4,2780583.812563063,5,2224467.0500504505,3.0
Kota Depok,Perempuan,Married,2,D3,3.0,9.29,Corporate Strategy & Communications,Staff,3894754.0,0.0,Medium,Low,32,103,11684262.0,23368524.0,11684262.0,1298251.3333333333,1.16125,Short-term,0.75,1,3894754.0,4,973688.5,1.6
Kota Bogor,Perempuan,Single,0,D2,1.0,9.25,Marketing,Staff,3184946.0,0.0,Medium,Good,33,178,9554838.0,19109676.0,15924730.0,3184946.0,1.15625,Short-term,2.5,1,3184946.0,3,1061648.6666666667,2.0
Kota Bogor,Perempuan,Single,0,SLTA,13.0,9.59,Engineering & IT,Staff,1237319.0,0.0,Low,Low,30,125,3711957.0,7423914.0,4949276.0,1237319.0,1.19875,Short-term,0.2857142857142857,1,1237319.0,1,1237319.0,1.0
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,13.0,9.68,Corporate Strategy & Communications,Staff,1420291.0,0.0,High,Excellent,26,158,4260873.0,8521746.0,7101455.0,473430.3333333333,1.21,Short-term,0.3571428571428571,1,1420291.0,1,1420291.0,3.0
Kota Jakarta Timur,Perempuan,Married,3,D3,4.0,9.0,Marketing,Staff,3732079.0,0.0,Medium,Excellent,36,154,11196237.0,22392474.0,18660395.0,933019.75,1.125,Short-term,1.0,1,3732079.0,4,933019.75,2.4000000000000004
Kota Jakarta Barat,Perempuan,Married,1,SLTA,3.0,9.07,Engineering & IT,Senior,14100575.751139332,0.0,Very High,Excellent,41,165,42301727.253418,84603454.506836,70502878.75569665,7050287.875569666,1.13375,Short-term,1.25,3,4700191.917046444,1,14100575.751139332,3.6
Kota Jakarta Selatan,Perempuan,Married,0,D1,7.0,9.04,Creative & Design,Staff,3871428.0,0.0,Low,Excellent,40,140,11614284.0,23228568.0,15485712.0,3871428.0,1.13,Short-term,0.5,1,3871428.0,2,1935714.0,1.8000000000000005
Tangerang,Perempuan,Married,0,S1,1.0,9.42,Marketing,Senior,13179220.43756944,0.0,Very High,Excellent,49,1491,39537661.31270832,79075322.62541664,645781801.4409025,13179220.43756944,1.1775,Long-term,24.5,3,4393073.479189813,5,2635844.087513888,3.6
Kota Jakarta Timur,Perempuan,Divorce,2,S1,0.0,9.22,Operations,Junior,5846340.0,0.0,Medium,Good,38,1126,17539020.0,35078040.0,216314580.0,1948780.0,1.1525,Long-term,37.0,2,2923170.0,5,1169268.0,2.0
Kota Jakarta Barat,Laki-laki,Married,3,D1,0.0,9.78,Marketing,Senior,7594539.308740766,0.0,High,Excellent,44,542,22783617.9262223,45567235.8524446,136701707.5573338,1898634.827185192,1.2225,Mid-term,18.0,3,2531513.1029135888,2,3797269.654370383,3.0
Kabupaten Bekasi,Perempuan,Married,0,D1,1.0,9.49,Finance & Accounting,Manager,7979716.155702954,0.0,High,Excellent,42,1122,23939148.46710886,47878296.93421772,295249497.7610093,7979716.155702954,1.18625,Long-term,18.5,4,1994929.0389257383,2,3989858.077851477,3.0
Kota Jakarta Barat,Laki-laki,Married,1,D2,0.0,9.48,Operations,Manager,9990023.22700244,0.0,Very High,Excellent,43,668,29970069.68100732,59940139.36201464,219780510.9940537,4995011.61350122,1.185,Mid-term,22.0,4,2497505.80675061,3,3330007.7423341465,3.6
Kota Depok,Perempuan,Married,2,S1,5.0,9.07,Marketing,Junior,5443219.0,0.0,High,Excellent,38,1018,16329657.0,32659314.0,179626227.0,1814406.3333333333,1.13375,Mid-term,5.5,2,2721609.5,5,1088643.8,3.0
Kota Jakarta Barat,Laki-laki,Married,3,S1,1.0,9.36,Finance & Accounting,Manager,16490225.463265529,0.0,High,Outstanding,45,1162,49470676.389796585,98941352.77959315,626628567.6040901,4122556.365816382,1.17,Long-term,19.0,4,4122556.365816382,5,3298045.092653106,3.4
Kota Bekasi,Perempuan,Single,0,SLTA,13.0,9.7,Finance & Accounting,Staff,1545200.0,0.0,High,Excellent,31,1119,4635600.0,9271200.0,57172400.0,1545200.0,1.2125,Long-term,2.642857142857143,1,1545200.0,1,1545200.0,3.0
Tangerang,Perempuan,Married,1,D2,7.0,9.48,Creative & Design,Staff,4717415.0,0.0,Medium,Excellent,29,956,14152245.0,28304490.0,146239865.0,2358707.5,1.185,Mid-term,3.875,1,4717415.0,3,1572471.6666666667,2.4000000000000004
Kota Jakarta Selatan,Laki-laki,Married,1,SLTA,4.0,9.56,Engineering & IT,Staff,1672532.0,0.0,High,Low,36,1595,5017596.0,10035192.0,88644196.0,836266.0,1.195,Long-term,10.6,1,1672532.0,1,1672532.0,2.2
Kota Jakarta Utara,Laki-laki,Married,2,SLTA,0.0,9.33,Creative & Design,Senior,13351436.744922966,0.0,High,Excellent,42,279,40054310.2347689,80108620.4695378,120162930.70430668,4450478.914974322,1.16625,Short-term,9.0,3,4450478.914974322,1,13351436.744922966,3.0
Tangerang,Perempuan,Married,3,SLTA,10.0,9.79,Marketing,Manager,13881985.862359686,0.0,High,Outstanding,49,370,41645957.587079056,83291915.17415811,166583830.34831622,3470496.465589921,1.22375,Mid-term,1.0909090909090908,4,3470496.465589921,1,13881985.862359686,3.4
Kota Jakarta Selatan,Laki-laki,Divorce,2,D2,4.0,9.24,Corporate Strategy & Communications,Senior,9357214.609312214,0.0,Very High,Outstanding,45,1149,28071643.82793664,56143287.65587328,355574155.15386415,3119071.536437405,1.155,Long-term,7.6,3,3119071.536437405,3,3119071.536437405,4.0
Kota Jakarta Selatan,Laki-laki,Married,2,D1,4.0,9.01,Service & Support,Senior,9450953.582193697,0.0,Very High,Outstanding,45,666,28352860.74658109,56705721.493162185,207920978.80826133,3150317.8607312324,1.12625,Mid-term,4.4,3,3150317.8607312324,2,4725476.791096848,4.0
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,4.0,9.85,HR,Staff,2634171.0,0.0,Medium,Low,34,725,7902513.0,15805026.0,63220104.0,878057.0,1.23125,Mid-term,4.8,1,2634171.0,1,2634171.0,1.6
Kota Jakarta Selatan,Laki-laki,Married,1,D3,7.0,9.19,Service & Support,Senior,9434850.505252143,0.0,High,Excellent,45,1061,28304551.51575643,56609103.03151286,330219767.683825,4717425.252626072,1.14875,Mid-term,4.375,3,3144950.168417381,4,2358712.626313036,3.0
Kota Depok,Laki-laki,Married,3,SLTA,10.0,9.58,Operations,Manager,8242634.467447802,0.0,High,Excellent,53,1604,24727903.402343407,49455806.804686815,436859626.7747336,2060658.6168619504,1.1975,Long-term,4.818181818181818,4,2060658.6168619504,1,8242634.467447802,3.0
Kota Jakarta Selatan,Laki-laki,Married,1,D2,2.0,9.69,Creative & Design,Manager,8522267.900344355,0.0,High,Outstanding,50,1634,25566803.701033063,51133607.40206613,460202466.6185952,4261133.9501721775,1.21125,Long-term,18.0,4,2130566.9750860888,3,2840755.966781452,3.4
Kota Jakarta Utara,Laki-laki,Married,0,SLTA,0.0,9.11,Engineering & IT,Staff,1181765.0,0.0,Low,Low,25,1148,3545295.0,7090590.0,44907070.0,1181765.0,1.13875,Long-term,0.0,1,1181765.0,1,1181765.0,1.0
Kota Jakarta Utara,Perempuan,Married,2,SLTA,0.0,9.74,HR,Staff,2449006.0,0.0,High,Good,25,135,7347018.0,14694036.0,9796024.0,816335.3333333334,1.2175,Short-term,4.0,1,2449006.0,1,2449006.0,2.6
Kota Jakarta Barat,Perempuan,Married,3,D1,4.0,9.19,Engineering & IT,Senior,9850551.60221045,0.0,Very High,Excellent,43,1573,29551654.80663136,59103309.61326271,512228683.3149434,2462637.9005526127,1.14875,Long-term,10.4,3,3283517.200736817,2,4925275.801105225,3.6
Kota Jakarta Timur,Laki-laki,Married,1,D3,2.0,9.54,Engineering & IT,Manager,10306645.89683112,0.0,High,Outstanding,47,99,30919937.69049336,61839875.38098672,30919937.69049336,5153322.94841556,1.1925,Short-term,1.0,4,2576661.47420778,4,2576661.47420778,3.4
Kota Jakarta Barat,Perempuan,Married,5,S1,0.0,9.74,Corporate Strategy & Communications,Manager,14537210.479295764,0.0,High,Excellent,41,155,43611631.437887296,87223262.87577459,72686052.39647882,2422868.413215961,1.2175,Short-term,5.0,4,3634302.619823941,5,2907442.0958591527,3.0
Tangerang,Perempuan,Married,2,SLTA,0.0,9.18,Finance & Accounting,Staff,1039929.0,0.0,High,Excellent,36,393,3119787.0,6239574.0,13519077.0,346643.0,1.1475,Mid-term,13.0,1,1039929.0,1,1039929.0,3.0
Kabupaten Bogor,Laki-laki,Married,2,D2,2.0,9.66,Creative & Design,Senior,10223425.962705282,0.0,High,Outstanding,55,728,30670277.88811585,61340555.77623169,245362223.1049268,3407808.6542350943,1.2075,Mid-term,8.0,3,3407808.6542350943,3,3407808.6542350943,3.4
Tangerang,Laki-laki,Married,1,SLTA,4.0,9.78,Operations,Staff,2967289.0,0.0,Medium,Good,26,1594,8901867.0,17803734.0,157266317.0,1483644.5,1.2225,Long-term,10.6,1,2967289.0,1,2967289.0,2.0
Kota Jakarta Timur,Perempuan,Married,2,D3,7.0,9.05,Marketing,Manager,7085860.271019879,0.0,High,Excellent,42,472,21257580.813059635,42515161.62611927,106287904.06529818,2361953.423673293,1.13125,Mid-term,1.875,4,1771465.0677549697,4,1771465.0677549697,3.0
Kota Jakarta Timur,Perempuan,Married,0,SLTA,0.0,9.72,Creative & Design,Manager,10292916.229592595,0.0,High,Outstanding,48,1755,30878748.688777786,61757497.37755557,596989141.3163705,10292916.229592595,1.215,Long-term,58.0,4,2573229.057398149,1,10292916.229592595,3.4
Tangerang,Laki-laki,Married,3,SLTA,3.0,9.74,HR,Senior,12382371.347329311,0.0,High,Excellent,42,1149,37147114.04198793,74294228.08397587,470530111.1985138,3095592.836832328,1.2175,Long-term,9.5,3,4127457.115776437,1,12382371.347329311,3.0
Kota Jakarta Barat,Laki-laki,Married,1,SLTA,0.0,9.72,Engineering & IT,Senior,12447653.052335456,0.0,High,Excellent,44,1500,37342959.15700637,74685918.31401274,622382652.6167728,6223826.526167728,1.215,Long-term,0.0,3,4149217.684111818,1,12447653.052335456,3.0
Tangerang,Perempuan,Married,2,SLTA,10.0,9.38,Creative & Design,Senior,6110928.775069408,0.0,Very High,Excellent,41,233,18332786.325208224,36665572.65041645,42776501.42548586,2036976.2583564688,1.1725,Short-term,0.6363636363636364,3,2036976.2583564688,1,6110928.775069408,3.6
Kabupaten Bekasi,Laki-laki,Married,5,D1,1.0,9.25,Corporate Strategy & Communications,Manager,6452263.00165148,0.0,High,Outstanding,50,1742,19356789.00495444,38713578.00990888,374231254.09578586,1075377.1669419133,1.15625,Long-term,29.0,4,1613065.75041287,2,3226131.50082574,3.4
Kabupaten Bekasi,Laki-laki,Married,4,S1,2.0,9.2,Corporate Strategy & Communications,Senior,11643439.864409149,0.0,Very High,Outstanding,52,819,34930319.593227446,69860639.18645489,314372876.339047,2328687.97288183,1.15,Mid-term,9.0,3,3881146.621469716,5,2328687.97288183,4.0
