domisili,jenis_kelamin,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,age_years,active_work,income_3_months,income_6_months,total_income_work,absence_ratio,income_dependant_ratio,work_efficiency,active_work_category,work_stability_score,married_dependent_ratio,position_score,job_income_position_score,education_score,education_income_ratio,weighted_satisfaction_performance,resign_risk_indicator,adjusted_work_time
Kota Jakarta Pusat,Laki-laki,Married,2,SLTA,8.0,9.29,HR,Staff,2377937,0.0,Medium,Good,37.0,121,7133811,14267622,9511748,5.950413223140496,792645.6666666666,1.16125,Short-term,0.4444444444444444,3,1,2377937.0,1,2377937.0,2.0,Medium,9.084127423822714
Kota Jakarta Timur,Perempuan,Married,4,S1,0.0,9.89,Operations,Junior,7655369,0.0,High,Good,49.0,383,22966107,45932214,91864428,0.0,1531073.8,1.23625,Mid-term,12.0,5,2,3827684.5,5,1531073.8,2.6,Medium,9.89
Kota Jakarta Utara,Perempuan,Married,2,SLTA,13.0,9.0,Operations,Staff,1870895,0.0,Medium,Good,32.0,162,5612685,11225370,9354475,7.222222222222222,623631.6666666666,1.125,Short-term,0.3571428571428571,3,1,1870895.0,1,1870895.0,2.0,Medium,8.740576496674057
Kabupaten Bekasi,Perempuan,Married,2,S1,0.0,9.54,Marketing,Junior,5361997,0.0,Medium,Low,34.0,1113,16085991,32171982,198393889,0.0,1787332.3333333333,1.1925,Long-term,37.0,3,2,2680998.5,5,1072399.4,1.6,Low,9.54
Tangerang,Laki-laki,Married,2,SLTA,5.0,9.05,Corporate Strategy & Communications,Staff,1552601,0.0,Medium,Good,43.0,1526,4657803,9315606,77630050,0.2948885976408912,517533.6666666667,1.13125,Long-term,8.333333333333334,3,1,1552601.0,1,1552601.0,2.0,Low,9.039946678515886
Kota Jakarta Timur,Laki-laki,Married,0,SLTA,6.0,9.46,HR,Staff,2519167,0.0,Medium,Good,34.0,1174,7557501,15115002,98247513,0.4599659284497445,2519167.0,1.1825,Long-term,5.571428571428571,1,1,2519167.0,1,2519167.0,2.0,Low,9.44383366562233
Kota Jakarta Timur,Perempuan,Married,0,S1,4.0,9.88,Engineering & IT,Junior,5448624,0.0,Medium,Low,28.0,802,16345872,32691744,141664224,0.4488778054862842,5448624.0,1.235,Mid-term,5.2,1,2,2724312.0,5,1089724.8,1.6,Medium,9.863118325501922
Kabupaten Bogor,Perempuan,Married,1,S1,2.0,9.23,Marketing,Junior,5530584,0.0,Medium,Excellent,39.0,982,16591752,33183504,176978688,0.1832993890020366,2765292.0,1.15375,Mid-term,10.666666666666666,2,2,2765292.0,5,1106116.8,2.4000000000000004,Medium,9.223592502603264
Tangerang,Perempuan,Married,1,D1,0.0,9.82,HR,Staff,3278501,0.0,High,Low,29.0,1261,9835503,19671006,137697042,0.0,1639250.5,1.2275,Long-term,42.0,2,1,3278501.0,2,1639250.5,2.2,Low,9.82
Kota Jakarta Utara,Perempuan,Single,0,SLTA,6.0,9.24,Marketing,Staff,2073942,0.0,Low,Excellent,31.0,133,6221826,12443652,8295768,4.060150375939849,2073942.0,1.155,Short-term,0.5714285714285714,1,1,2073942.0,1,2073942.0,1.8000000000000005,Medium,9.086426592797784
Kota Bogor,Perempuan,Single,0,D2,4.0,9.07,Service & Support,Staff,3933914,0.0,High,Excellent,24.0,1629,11801742,23603484,212431356,0.2209944751381215,3933914.0,1.13375,Long-term,10.8,1,1,3933914.0,3,1311304.6666666667,3.0,Low,9.062536515120346
Kabupaten Bekasi,Perempuan,Married,1,S1,1.0,9.21,Creative & Design,Junior,5985919,0.0,Low,Good,43.0,640,17957757,35915514,125704299,0.140625,2992959.5,1.15125,Mid-term,10.5,2,2,2992959.5,5,1197183.8,1.4,Medium,9.205129561078795
Kota Jakarta Barat,Laki-laki,Single,0,S1,4.0,9.58,HR,Junior,5584586,0.0,Low,Excellent,24.0,1235,16753758,33507516,228968026,0.291497975708502,5584586.0,1.1975,Long-term,8.2,1,2,2792293.0,5,1116917.2,1.8000000000000005,Low,9.569617989704687
Kabupaten Bekasi,Perempuan,Married,1,SLTA,12.0,9.24,HR,Staff,1049825,0.0,Medium,Low,36.0,432,3149475,6298950,14697550,2.5,524912.5,1.155,Mid-term,1.0769230769230769,2,1,1049825.0,1,1049825.0,1.6,Medium,9.15206978588422
Kota Jakarta Pusat,Perempuan,Married,1,D1,3.0,9.88,Operations,Staff,4483453,0.0,Medium,Low,24.0,727,13450359,26900718,107602872,0.3713892709766162,2241726.5,1.235,Mid-term,6.0,2,1,4483453.0,2,2241726.5,1.6,Medium,9.86628412771865
Kabupaten Bekasi,Laki-laki,Married,3,D3,4.0,9.0,Finance & Accounting,Staff,4010145,0.0,Medium,Excellent,44.0,1595,12030435,24060870,212537685,0.225705329153605,1002536.25,1.125,Long-term,10.6,4,1,4010145.0,4,1002536.25,2.4000000000000004,Low,8.99245441207294
Kota Jakarta Selatan,Laki-laki,Married,0,SLTA,0.0,9.07,HR,Staff,1632023,0.0,High,Excellent,29.0,191,4896069,9792138,9792138,0.0,1632023.0,1.13375,Short-term,6.0,1,1,1632023.0,1,1632023.0,3.0,High,9.07
Kota Jakarta Selatan,Perempuan,Single,0,S1,6.0,9.29,Marketing,Junior,5362355,0.0,Low,Low,33.0,851,16087065,32174130,150145940,0.6345475910693302,5362355.0,1.16125,Mid-term,4.0,1,2,2681177.5,5,1072471.0,1.0,Medium,9.267889726299089
Kota Jakarta Barat,Laki-laki,Married,2,SLTA,6.0,9.1,HR,Staff,2076348,0.0,Low,Low,35.0,1455,6229044,12458088,99664704,0.3711340206185566,692116.0,1.1375,Long-term,6.857142857142857,3,1,2076348.0,1,2076348.0,1.0,Low,9.087364036102754
Kabupaten Bekasi,Perempuan,Married,2,S1,2.0,9.1,Operations,Senior,7632034,0.0,High,Excellent,34.0,1735,22896102,45792204,435025938,0.1037463976945245,2544011.333333333,1.1375,Long-term,19.0,3,3,2544011.333333333,5,1526406.8,3.0,Low,9.096452933151433
Tangerang,Laki-laki,Married,0,D3,2.0,9.86,Engineering & IT,Staff,3971753,0.0,Medium,Low,48.0,1561,11915259,23830518,206531156,0.1153106982703395,3971753.0,1.2325,Long-term,17.333333333333332,1,1,3971753.0,4,992938.25,1.6,Low,9.855787224951932
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,9.0,9.02,Finance & Accounting,Staff,2014109,0.0,High,Good,49.0,201,6042327,12084654,12084654,4.029850746268656,503527.25,1.1275,Short-term,0.6,4,1,2014109.0,1,2014109.0,2.6,Medium,8.869944547134935
Kota Jakarta Timur,Laki-laki,Married,2,S1,2.0,9.01,Marketing,Junior,7302726,0.0,Low,Good,41.0,746,21908178,43816356,175265424,0.2412868632707774,2434242.0,1.12625,Mid-term,8.0,3,2,3651363.0,5,1460545.2,1.4,Medium,9.001661267931512
Kota Jakarta Selatan,Laki-laki,Divorce,3,D3,7.0,9.29,HR,Staff,3912329,0.0,Low,Low,48.0,1500,11736987,23473974,195616450,0.42,978082.25,1.16125,Long-term,6.25,1,1,3912329.0,4,978082.25,1.0,Low,9.275552099533437
Kepulauan Seribu,Perempuan,Single,0,D1,5.0,9.38,Corporate Strategy & Communications,Staff,3911672,0.0,Medium,Low,33.0,91,11735016,23470032,11735016,4.945054945054945,3911672.0,1.1725,Short-term,0.5,1,1,3911672.0,2,1955836.0,1.6,Medium,9.206937269372697
Kota Jakarta Utara,Laki-laki,Married,2,S1,4.0,9.77,Corporate Strategy & Communications,Junior,5848566,0.0,Low,Good,41.0,332,17545698,35091396,64334226,1.0843373493975903,1949522.0,1.22125,Short-term,2.2,3,2,2924283.0,5,1169713.2,1.4,Medium,9.730565085771946
Kabupaten Bekasi,Laki-laki,Single,0,S1,2.0,9.81,Finance & Accounting,Junior,6265487,0.0,High,Excellent,25.0,1485,18796461,37592922,307008863,0.1212121212121212,6265487.0,1.22625,Long-term,16.333333333333332,1,2,3132743.5,5,1253097.4,3.0,Low,9.805552029018363
Kabupaten Bogor,Laki-laki,Married,2,D1,0.0,9.11,Corporate Strategy & Communications,Staff,3897476,0.0,Medium,Low,33.0,136,11692428,23384856,15589904,0.0,1299158.6666666667,1.13875,Short-term,4.0,3,1,3897476.0,2,1948738.0,1.6,Medium,9.11
Kota Jakarta Timur,Perempuan,Married,2,S1,2.0,9.12,Corporate Strategy & Communications,Junior,6006788,0.0,High,Good,54.0,1664,18020364,36040728,330373340,0.1081730769230769,2002262.6666666667,1.14,Long-term,18.33333333333333,3,2,3003394.0,5,1201357.6,2.6,Low,9.11631589577863
Kota Bogor,Laki-laki,Married,2,SLTA,0.0,9.32,Finance & Accounting,Staff,1640299,0.0,High,Good,31.0,964,4920897,9841794,52489568,0.0,546766.3333333334,1.165,Mid-term,32.0,3,1,1640299.0,1,1640299.0,2.6,Medium,9.32
Kota Depok,Perempuan,Single,0,SLTA,1.0,9.31,Engineering & IT,Staff,1029665,0.0,Medium,Low,24.0,242,3088995,6177990,8237320,0.371900826446281,1029665.0,1.16375,Short-term,4.0,1,1,1029665.0,1,1029665.0,1.6,High,9.297087378640777
Kota Jakarta Barat,Perempuan,Married,1,S1,4.0,9.03,HR,Junior,5021209,0.0,Medium,Excellent,28.0,1532,15063627,30127254,256081659,0.2349869451697128,2510604.5,1.12875,Long-term,10.2,2,2,2510604.5,5,1004241.8,2.4000000000000004,Low,9.022132433021127
Kota Jakarta Barat,Laki-laki,Married,2,S1,1.0,9.18,Finance & Accounting,Senior,9150139,0.0,High,Outstanding,51.0,1125,27450417,54900834,338555143,0.08,3050046.333333333,1.1475,Long-term,18.5,3,3,3050046.333333333,5,1830027.8,3.4,Low,9.177244070849596
Tangerang,Perempuan,Married,3,SLTA,13.0,9.81,Finance & Accounting,Staff,1805542,0.0,Low,Low,35.0,1186,5416626,10833252,70416138,0.9865092748735244,451385.5,1.22625,Long-term,2.7857142857142856,4,1,1805542.0,1,1805542.0,1.0,Low,9.773677015095416
Kota Depok,Perempuan,Married,3,D2,7.0,9.87,Service & Support,Staff,3908737,0.0,High,Low,48.0,1074,11726211,23452422,136805795,0.5865921787709497,977184.25,1.23375,Mid-term,4.375,4,1,3908737.0,3,1302912.3333333333,2.2,Medium,9.848073627419865
Kota Jakarta Barat,Laki-laki,Married,1,S1,2.0,9.45,Finance & Accounting,Junior,6521666,0.0,Low,Good,50.0,723,19564998,39129996,156519984,0.2489626556016597,3260833.0,1.18125,Mid-term,8.0,2,2,3260833.0,5,1304333.2,1.4,Medium,9.441254049051365
Kota Jakarta Pusat,Laki-laki,Married,3,S1,4.0,9.04,Creative & Design,Junior,5796898,0.0,Medium,Good,53.0,1334,17390694,34781388,255063512,0.2698650674662669,1449224.5,1.13,Long-term,8.8,4,2,2898449.0,5,1159379.6,2.0,Low,9.030870992173693
Kota Jakarta Barat,Laki-laki,Single,2,S1,3.0,9.56,HR,Junior,5452105,0.0,Low,Low,39.0,590,16356315,32712630,103589995,0.4576271186440678,1817368.3333333333,1.195,Mid-term,4.75,1,2,2726052.5,5,1090421.0,1.0,Medium,9.54323787258913
Kabupaten Bekasi,Laki-laki,Married,1,S1,0.0,9.42,Operations,Junior,5542699,0.0,Low,Excellent,44.0,795,16628097,33256194,144110174,0.0,2771349.5,1.1775,Mid-term,26.0,2,2,2771349.5,5,1108539.8,1.8000000000000005,Medium,9.42
Kabupaten Bekasi,Perempuan,Married,2,S1,0.0,9.13,Service & Support,Junior,5010315,0.0,Medium,Excellent,44.0,1243,15030945,30061890,205422915,0.0,1670105.0,1.14125,Long-term,41.0,3,2,2505157.5,5,1002063.0,2.4000000000000004,Low,9.13
Kota Jakarta Timur,Laki-laki,Married,0,D1,2.0,9.27,HR,Staff,4251893,0.0,Medium,Excellent,42.0,751,12755679,25511358,106297325,0.2396804260985352,4251893.0,1.15875,Mid-term,8.333333333333334,1,1,4251893.0,2,2125946.5,2.4000000000000004,Medium,9.26176366059529
Tangerang,Perempuan,Married,1,D1,6.0,9.36,Corporate Strategy & Communications,Staff,3049462,0.0,High,Excellent,39.0,110,9148386,18296772,9148386,4.909090909090908,1524731.0,1.17,Short-term,0.4285714285714285,2,1,3049462.0,2,1524731.0,3.0,Medium,9.152767527675277
Kota Jakarta Utara,Perempuan,Married,1,S1,1.0,9.52,HR,Senior,8291335,0.0,Very High,Excellent,34.0,1743,24874005,49748010,480897430,0.0516351118760757,4145667.5,1.19,Long-term,29.0,2,3,2763778.333333333,5,1658267.0,3.6,Low,9.51817659452212
Kabupaten Bekasi,Laki-laki,Married,2,S1,2.0,9.15,Engineering & IT,Junior,5517782,0.0,Low,Low,37.0,1219,16553346,33106692,220711280,0.1476620180475799,1839260.6666666667,1.14375,Long-term,13.333333333333334,3,2,2758891.0,5,1103556.4,1.0,Low,9.14491807831158
Kota Jakarta Pusat,Laki-laki,Married,2,D3,5.0,9.12,Creative & Design,Staff,4110355,0.0,High,Good,49.0,1019,12331065,24662130,135641715,0.4416094210009813,1370118.3333333333,1.14,Mid-term,5.5,3,1,4110355.0,4,1027588.75,2.6,Medium,9.104651632446986
Kota Jakarta Timur,Perempuan,Married,4,S1,1.0,9.03,Engineering & IT,Junior,7041194,0.0,Low,Good,48.0,794,21123582,42247164,183071044,0.1133501259445843,1408238.8,1.12875,Mid-term,13.0,5,2,3520597.0,5,1408238.8,1.4,Medium,9.02614267407091
Kabupaten Bekasi,Laki-laki,Married,2,D1,4.0,9.71,HR,Staff,3969517,0.0,Low,Excellent,32.0,142,11908551,23817102,15878068,2.535211267605634,1323172.3333333333,1.21375,Short-term,0.8,3,1,3969517.0,2,1984758.5,1.8000000000000005,Medium,9.602409972299167
Tangerang,Perempuan,Single,0,D3,7.0,9.9,Creative & Design,Staff,3129038,0.0,High,Low,37.0,1605,9387114,18774228,165839014,0.3925233644859813,3129038.0,1.2375,Long-term,6.625,1,1,3129038.0,4,782259.5,2.2,Low,9.885474743240412
Kabupaten Bogor,Laki-laki,Married,5,S1,3.0,9.87,Marketing,Junior,5963523,0.0,High,Excellent,43.0,1602,17890569,35781138,316066719,0.1685393258426966,993920.5,1.23375,Long-term,13.25,6,2,2981761.5,5,1192704.6,3.0,Low,9.863793753929992
Kota Jakarta Timur,Laki-laki,Single,0,SLTA,11.0,9.21,Marketing,Staff,2240964,0.0,Medium,Good,28.0,1493,6722892,13445784,109807236,0.6630944407233758,2240964.0,1.15125,Long-term,4.083333333333333,1,1,2240964.0,1,2240964.0,2.0,Low,9.18703241895262
Kota Depok,Laki-laki,Married,2,SLTA,9.0,9.6,Service & Support,Staff,2686172,0.0,High,Low,52.0,165,8058516,16117032,13430860,4.909090909090909,895390.6666666666,1.2,Short-term,0.5,3,1,2686172.0,1,2686172.0,2.2,Medium,9.408425720620842
Kota Jakarta Timur,Laki-laki,Single,0,S1,2.0,9.43,Operations,Junior,5673730,0.0,High,Excellent,43.0,373,17021190,34042380,68084760,0.4825737265415549,5673730.0,1.17875,Mid-term,4.0,1,2,2836865.0,5,1134746.0,3.0,Medium,9.41255319148936
Kabupaten Bekasi,Laki-laki,Married,2,D3,1.0,9.01,Service & Support,Staff,4307315,0.0,Low,Excellent,32.0,1491,12921945,25843890,211058435,0.0603621730382293,1435771.6666666667,1.12625,Long-term,24.5,3,1,4307315.0,4,1076828.75,1.8000000000000005,Low,9.007957379279077
Kabupaten Bekasi,Laki-laki,Married,2,D2,0.0,9.14,HR,Staff,4772487,0.0,Medium,Low,30.0,119,14317461,28634922,14317461,0.0,1590829.0,1.1425,Short-term,3.0,3,1,4772487.0,3,1590829.0,1.6,Medium,9.14
Kota Jakarta Barat,Perempuan,Divorce,1,S1,2.0,9.07,Service & Support,Junior,5116590,0.0,Medium,Good,49.0,738,15349770,30699540,122798160,0.2439024390243902,2558295.0,1.13375,Mid-term,8.0,1,2,2558295.0,5,1023318.0,2.0,Medium,9.06160573808422
Tangerang,Laki-laki,Married,0,S1,3.0,9.12,Service & Support,Junior,6140482,0.0,Medium,Low,36.0,539,18421446,36842892,104388194,0.5009276437847866,6140482.0,1.14,Mid-term,4.25,1,2,3070241.0,5,1228096.4,1.6,Medium,9.1021293272371
Kota Depok,Laki-laki,Married,2,D3,6.0,9.88,Marketing,Staff,4568173,0.0,Medium,Good,47.0,618,13704519,27409038,91363460,0.8737864077669903,1522724.3333333333,1.235,Mid-term,2.857142857142857,3,1,4568173.0,4,1142043.25,2.0,Medium,9.847084952803998
Kota Jakarta Utara,Perempuan,Married,2,D3,3.0,9.43,Finance & Accounting,Staff,3011219,0.0,Medium,Good,32.0,161,9033657,18067314,15056095,1.6770186335403725,1003739.6666666666,1.17875,Short-term,1.25,3,1,3011219.0,4,752804.75,2.0,Medium,9.367272727272727
Kota Bogor,Laki-laki,Married,2,D3,3.0,9.74,Corporate Strategy & Communications,Staff,4553925,0.0,Medium,Low,35.0,1271,13661775,27323550,191264850,0.2124311565696302,1517975.0,1.2175,Long-term,10.5,3,1,4553925.0,4,1138481.25,1.6,Low,9.732271885744511
Kabupaten Bogor,Perempuan,Married,0,SLTA,5.0,9.68,HR,Staff,2736347,0.0,Low,Excellent,41.0,328,8209041,16418082,27363470,1.3719512195121952,2736347.0,1.21,Short-term,1.6666666666666667,1,1,2736347.0,1,2736347.0,1.8000000000000005,Medium,9.626281908990013
Kota Jakarta Utara,Perempuan,Married,2,S1,0.0,9.85,Operations,Junior,6482996,0.0,High,Good,50.0,1166,19448988,38897976,246353848,0.0,2160998.6666666665,1.23125,Long-term,38.0,3,2,3241498.0,5,1296599.2,2.6,Low,9.85
Kota Jakarta Timur,Perempuan,Married,3,D1,5.0,9.07,Finance & Accounting,Staff,3025846,0.0,Medium,Good,32.0,146,9077538,18155076,12103384,3.0821917808219177,756461.5,1.13375,Short-term,0.6666666666666666,4,1,3025846.0,2,1512923.0,2.0,Medium,8.94437673130194
Kabupaten Bekasi,Laki-laki,Married,1,D1,0.0,9.38,Marketing,Staff,3781763,0.0,High,Good,32.0,1174,11345289,22690578,147488757,0.0,1890881.5,1.1725,Long-term,39.0,2,1,3781763.0,2,1890881.5,2.6,Low,9.38
Tangerang,Perempuan,Married,3,D3,1.0,9.55,Creative & Design,Staff,4648120,0.0,High,Excellent,47.0,114,13944360,27888720,13944360,0.7894736842105263,1162030.0,1.19375,Short-term,1.5,4,1,4648120.0,4,1162030.0,3.0,Medium,9.514760147601477
Kota Jakarta Barat,Perempuan,Married,3,D1,6.0,9.25,Service & Support,Staff,3884797,0.0,High,Good,24.0,1250,11654391,23308782,159276677,0.432,971199.25,1.15625,Long-term,5.857142857142857,4,1,3884797.0,2,1942398.5,2.6,Low,9.234963424546192
Tangerang,Laki-laki,Divorce,1,S1,2.0,9.22,Finance & Accounting,Junior,5248708,0.0,High,Excellent,49.0,479,15746124,31492248,78730620,0.3757828810020877,2624354.0,1.1525,Mid-term,5.0,1,2,2624354.0,5,1049741.6,3.0,Medium,9.206350851221318
Kepulauan Seribu,Laki-laki,Married,1,SLTA,7.0,9.68,Engineering & IT,Staff,1074013,0.0,Medium,Good,39.0,1224,3222039,6444078,42960520,0.5147058823529412,537006.5,1.21,Long-term,5.0,2,1,1074013.0,1,1074013.0,2.0,Low,9.661183004720913
Kota Bekasi,Laki-laki,Married,2,S1,0.0,9.2,Corporate Strategy & Communications,Junior,6252596,0.0,High,Low,40.0,1609,18757788,37515576,331387588,0.0,2084198.6666666667,1.15,Long-term,53.0,3,2,3126298.0,5,1250519.2,2.2,Low,9.2
Kota Jakarta Pusat,Perempuan,Married,2,SLTA,6.0,9.52,Finance & Accounting,Staff,2754170,0.0,Low,Good,56.0,841,8262510,16525020,77116760,0.6420927467300832,918056.6666666666,1.19,Mid-term,4.0,3,1,2754170.0,1,2754170.0,1.4,Medium,9.497342324474417
Kota Jakarta Selatan,Perempuan,Married,1,S1,5.0,9.43,Engineering & IT,Junior,5295496,0.0,High,Excellent,41.0,1229,15886488,31772976,211819840,0.3661513425549227,2647748.0,1.17875,Long-term,6.666666666666667,2,2,2647748.0,5,1059099.2,3.0,Low,9.416906414884757
Kota Jakarta Barat,Laki-laki,Married,1,S1,0.0,9.63,Creative & Design,Junior,5303200,0.0,High,Low,36.0,666,15909600,31819200,116670400,0.0,2651600.0,1.20375,Mid-term,22.0,2,2,2651600.0,5,1060640.0,2.2,Medium,9.63
Tangerang,Perempuan,Married,3,D3,5.0,9.36,Corporate Strategy & Communications,Staff,4433525,0.0,Medium,Good,51.0,1004,13300575,26601150,146306325,0.4482071713147411,1108381.25,1.17,Mid-term,5.5,4,1,4433525.0,4,1108381.25,2.0,Medium,9.344247728037695
Kota Jakarta Timur,Laki-laki,Married,0,S1,2.0,9.48,Engineering & IT,Junior,6375496,0.0,Medium,Good,48.0,1064,19126488,38252976,223142360,0.169172932330827,6375496.0,1.185,Mid-term,11.666666666666666,1,2,3187748.0,5,1275099.2,2.0,Medium,9.473982862583307
Kota Jakarta Barat,Perempuan,Single,0,D2,4.0,9.13,HR,Staff,4976792,0.0,Low,Low,26.0,514,14930376,29860752,84605464,0.7003891050583657,4976792.0,1.14125,Mid-term,3.4,1,1,4976792.0,3,1658930.6666666667,1.0,Medium,9.106146309601568
Kota Jakarta Barat,Laki-laki,Married,3,S1,1.0,9.03,Operations,Junior,5961945,0.0,Medium,Excellent,51.0,1054,17885835,35771670,208668075,0.0853889943074003,1490486.25,1.12875,Mid-term,17.5,4,2,2980972.5,5,1192389.0,2.4000000000000004,Medium,9.027134243097429
Kota Jakarta Selatan,Laki-laki,Married,3,S1,4.0,9.55,HR,Junior,5060395,0.0,Low,Low,40.0,577,15181185,30362370,96147505,0.6239168110918544,1265098.75,1.19375,Mid-term,3.8,4,2,2530197.5,5,1012079.0,1.0,Medium,9.527673874926943
Tangerang,Laki-laki,Married,1,D3,3.0,9.76,Marketing,Staff,4095348,0.0,High,Excellent,52.0,1115,12286044,24572088,151527876,0.242152466367713,2047674.0,1.22,Long-term,9.25,2,1,4095348.0,4,1023837.0,3.0,Low,9.751209846892824
Tangerang,Laki-laki,Married,0,S1,2.0,9.87,HR,Junior,6406299,0.0,Low,Excellent,40.0,1187,19218897,38437794,249845661,0.151642796967144,6406299.0,1.23375,Long-term,13.0,1,2,3203149.5,5,1281259.8,1.8000000000000005,Low,9.864377670179437
Tangerang,Perempuan,Married,1,S1,2.0,9.34,Corporate Strategy & Communications,Junior,6314762,0.0,High,Low,34.0,1517,18944286,37888572,315738100,0.1186552406064601,3157381.0,1.1675,Long-term,16.666666666666668,2,2,3157381.0,5,1262952.4,2.2,Low,9.335849811153077
Tangerang,Perempuan,Married,2,D1,1.0,9.59,Corporate Strategy & Communications,Staff,3949314,0.0,Low,Excellent,36.0,127,11847942,23695884,15797256,0.7086614173228346,1316438.0,1.19875,Short-term,2.0,3,1,3949314.0,2,1974657.0,1.8000000000000005,Medium,9.563434903047092
Kota Jakarta Barat,Perempuan,Married,0,SLTA,11.0,9.73,HR,Staff,2140848,0.0,Low,Good,34.0,279,6422544,12845088,19267632,3.548387096774193,2140848.0,1.21625,Short-term,0.75,1,1,2140848.0,1,2140848.0,1.4,Medium,9.5980271270037
Kabupaten Bekasi,Laki-laki,Married,2,S1,0.0,9.54,Finance & Accounting,Junior,5511921,0.0,High,Good,37.0,113,16535763,33071526,16535763,0.0,1837307.0,1.1925,Short-term,3.0,3,2,2755960.5,5,1102384.2,2.6,Medium,9.54
Kota Jakarta Selatan,Perempuan,Married,0,S1,0.0,9.68,Engineering & IT,Junior,6246692,0.0,Medium,Good,50.0,730,18740076,37480152,149920608,0.0,6246692.0,1.21,Mid-term,24.0,1,2,3123346.0,5,1249338.4,2.0,Medium,9.68
Kepulauan Seribu,Perempuan,Single,0,D1,6.0,9.71,Operations,Staff,3451585,0.0,Low,Good,27.0,222,10354755,20709510,24161095,2.4324324324324325,3451585.0,1.21375,Short-term,1.0,1,1,3451585.0,2,1725792.5,1.4,High,9.617670364500794
Kota Jakarta Barat,Laki-laki,Married,1,D1,5.0,9.47,Engineering & IT,Staff,4812279,0.0,Medium,Low,25.0,329,14436837,28873674,48122790,1.3677811550151977,2406139.5,1.18375,Short-term,1.6666666666666667,2,1,4812279.0,2,2406139.5,1.6,High,9.417447280799111
Kabupaten Bekasi,Laki-laki,Single,0,S1,6.0,9.15,Operations,Junior,5454400,0.0,High,Good,36.0,969,16363200,32726400,174540800,0.5572755417956656,5454400.0,1.14375,Mid-term,4.571428571428571,1,2,2727200.0,5,1090880.0,2.6,Medium,9.130944116626171
Kota Depok,Laki-laki,Married,0,S1,1.0,9.68,Service & Support,Junior,6628684,0.0,Medium,Good,29.0,1532,19886052,39772104,338062884,0.0587467362924282,6628684.0,1.21,Long-term,25.5,1,2,3314342.0,5,1325736.8,2.0,Low,9.677891526900458
Tangerang,Perempuan,Married,3,SLTA,12.0,9.46,Engineering & IT,Staff,1947075,0.0,Low,Low,46.0,1195,5841225,11682450,75935925,0.903765690376569,486768.75,1.1825,Long-term,3.0,4,1,1947075.0,1,1947075.0,1.0,Low,9.42766733124466
Kota Jakarta Timur,Laki-laki,Married,2,D1,1.0,9.04,Operations,Staff,3261314,0.0,Medium,Excellent,44.0,683,9783942,19567884,71748908,0.1317715959004392,1087104.6666666667,1.13,Mid-term,11.0,3,1,3261314.0,2,1630657.0,2.4000000000000004,Medium,9.035436648157496
Kota Jakarta Timur,Laki-laki,Married,3,S1,1.0,9.58,Service & Support,Junior,5448850,0.0,Medium,Low,45.0,1113,16346550,32693100,201607450,0.0808625336927223,1362212.5,1.1975,Long-term,18.5,4,2,2724425.0,5,1089770.0,1.6,Low,9.577123986790752
Tangerang,Perempuan,Married,3,S1,0.0,9.84,Operations,Junior,5004013,0.0,High,Low,43.0,381,15012039,30024078,60048156,0.0,1251003.25,1.23,Mid-term,12.0,4,2,2502006.5,5,1000802.6,2.2,Medium,9.84
Kota Jakarta Barat,Laki-laki,Married,0,SLTA,13.0,9.51,HR,Staff,1686362,0.0,Medium,Good,25.0,907,5059086,10118172,50590860,1.2899669239250275,1686362.0,1.18875,Mid-term,2.142857142857143,1,1,1686362.0,1,1686362.0,2.0,Medium,9.464228063680116
Kota Jakarta Pusat,Laki-laki,Single,0,SLTA,11.0,9.76,HR,Staff,1929295,0.0,Low,Excellent,30.0,262,5787885,11575770,15434360,3.7786259541984735,1929295.0,1.22,Short-term,0.6666666666666666,1,1,1929295.0,1,1929295.0,1.8000000000000005,Medium,9.611095700416088
Kota Jakarta Timur,Perempuan,Single,0,S1,2.0,9.44,Service & Support,Junior,5182621,0.0,Medium,Low,35.0,966,15547863,31095726,165843872,0.1863354037267081,5182621.0,1.18,Mid-term,10.666666666666666,1,2,2591310.5,5,1036524.2,1.6,Medium,9.433446719888927
Kota Jakarta Pusat,Laki-laki,Married,3,SLTA,12.0,9.16,Creative & Design,Staff,1662644,0.0,High,Excellent,49.0,107,4987932,9975864,4987932,10.093457943925234,415661.0,1.145,Short-term,0.2307692307692307,4,1,1662644.0,1,1662644.0,3.0,Medium,8.75439114391144
Kabupaten Bogor,Laki-laki,Single,0,S1,1.0,9.9,Corporate Strategy & Communications,Junior,6171455,0.0,Low,Excellent,26.0,1456,18514365,37028730,296229840,0.0618131868131868,6171455.0,1.2375,Long-term,24.0,1,2,3085727.5,5,1234291.0,1.8000000000000005,Low,9.897708863688962
Kota Depok,Laki-laki,Single,0,D2,5.0,9.89,Marketing,Staff,4993506,0.0,High,Good,28.0,348,14980518,29961036,54928566,1.293103448275862,4993506.0,1.23625,Short-term,1.8333333333333333,1,1,4993506.0,3,1664502.0,2.6,High,9.840100908173564
Kepulauan Seribu,Perempuan,Married,3,S1,4.0,9.36,Operations,Junior,5134446,0.0,Medium,Good,38.0,325,15403338,30806676,51344460,1.1076923076923078,1283611.5,1.17,Short-term,2.0,4,2,2567223.0,5,1026889.2,2.0,Medium,9.318446170921195
